capital,university,venture,enterprise,accelerator,procurement_before,timedelta,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service,lgbm_pred,nn_pred
1000.0,0.0,0.0,0.0,0.0,1000.0,,0.0,0,0,0,0,0,1,0.43951955559965006,0.56076294
5000.0,0.0,1.0,0.0,0.0,707300.0,,0.0,0,0,0,0,0,1,0.7263772622550534,1.2020833e-21
600.0,0.0,0.0,1.0,0.0,8100.0,,28800.0,0,0,0,0,0,1,0.3941002155627327,0.42132002
16540.0,0.0,0.0,0.0,0.0,27200.0,,0.0,0,0,0,0,0,1,0.0966179877304225,0.24278882
200.0,0.0,0.0,0.0,0.0,5200.0,,0.0,0,0,0,0,1,0,0.7216140609406768,0.4798207
1000.0,0.0,1.0,0.0,0.0,20500.0,,357999.0,0,0,0,1,0,0,0.8188138896301428,0.23085108
1000.0,0.0,0.0,1.0,0.0,21225.0,,4500.0,0,0,0,1,0,0,0.5237279363791788,0.22212219
11600.0,0.0,0.0,1.0,0.0,11600.0,,77000.0,0,0,0,0,1,0,0.2591715909308336,0.44978556
1000.0,0.0,1.0,0.0,1.0,1000.0,274.0,50000.0,0,0,0,0,0,1,0.6826961399286381,0.5607698
1000.0,0.0,1.0,0.0,1.0,0.0,1061.0,0.0,0,0,0,0,1,0,0.82538966566816,0.55954915
1000.0,0.0,0.0,0.0,0.0,101000.0,,1121340.0,0,1,0,0,0,0,0.2593651315063033,0.0012814403
9000.0,0.0,1.0,0.0,0.0,23500.0,,545000.0,0,0,0,0,0,1,0.2793634150543818,0.25326973
3000.0,0.0,0.0,1.0,0.0,36852.0,,660447.0,0,0,0,0,0,1,0.7295308489706506,0.078528225
400.0,0.0,1.0,0.0,0.0,189400.0,,91800.0,0,0,0,0,0,1,0.8349113511965799,3.4292466e-06
149500.0,0.0,0.0,1.0,0.0,159670.0,,59750.0,0,0,0,0,1,0,0.4293803715747288,0.0012357831
560.0,0.0,1.0,0.0,0.0,259000.0,,110360.0,0,0,0,0,1,0,0.9092076410735769,3.0167644e-08
3000.0,0.0,0.0,1.0,1.0,53000.0,662.0,240000.0,0,0,0,0,1,0,0.9098955066579096,0.026021242
215000.0,0.0,0.0,1.0,0.0,255491.0,,0.0,0,0,0,0,0,1,0.45006217794791664,9.789476e-06
100000.0,0.0,1.0,1.0,1.0,238870.0,629.0,-19935.0,0,1,0,0,0,0,0.44882772311766755,1.5310221e-06
388000.0,0.0,1.0,0.0,0.0,347727.0,,0.0,0,0,0,0,0,1,0.2571319992794279,1.8020986e-06
275000.0,0.0,1.0,1.0,0.0,250000.0,,0.0,0,1,0,0,0,0,0.44882772311766755,7.2202114e-05
379000.0,1.0,0.0,0.0,0.0,706171.0,,0.0,0,0,0,1,0,0,0.27851705084712614,3.216764e-17
3000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,1,0.21048895680873597,0.5566898
7000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,1,0,0.17576700905596185,0.5396331
3000.0,0.0,1.0,0.0,0.0,0.0,,0.0,0,0,0,0,1,0,0.6633560353187168,0.5567274
10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,1,0,0.10767415419230736,0.52675164
30000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,1,0.23054783320592656,0.44094953
1000.0,0.0,1.0,1.0,0.0,0.0,,0.0,0,0,0,0,1,0,0.8832747601663768,0.5595431
81000.0,0.0,1.0,1.0,0.0,0.0,,0.0,0,1,0,0,0,0,0.6513055637233652,0.24681175
86000.0,0.0,1.0,1.0,0.0,16000.0,,30000.0,0,0,0,0,1,0,0.8232819680463995,0.4076342
50000.0,1.0,0.0,0.0,0.0,100000.0,,0.0,0,0,1,0,0,0,0.0175352711587463,0.0053376555
150000.0,1.0,0.0,0.0,0.0,180000.0,,0.0,0,0,0,1,0,0,0.27851705084712614,0.00030964613
2000.0,1.0,0.0,0.0,0.0,0.0,,0.0,1,0,0,0,0,0,0.5389794966936039,0.55927914
23000.0,0.0,1.0,1.0,0.0,37330.0,,0.0,0,0,1,0,0,0,0.37415498413491677,0.15978286
150000.0,1.0,0.0,1.0,1.0,100.0,378.0,0.0,0,0,0,0,1,0,0.8656481779217723,0.0983631
89000.0,0.0,0.0,0.0,0.0,67994.0,,39990.0,0,0,0,1,0,0,0.19898418325519668,0.114296794
92000.0,1.0,0.0,0.0,1.0,59160.0,606.0,5000.0,0,0,0,0,1,0,0.5974955885150403,0.11526626
60000.0,0.0,0.0,1.0,0.0,9000.0,,0.0,0,0,0,0,1,0,0.39864233139935445,0.49512017
378000.0,0.0,0.0,1.0,0.0,99500.0,,0.0,0,1,0,0,0,0,0.14330243139034504,0.009003341
58000.0,0.0,0.0,0.0,0.0,10000.0,,96000.0,0,0,0,0,0,1,0.19370015828185447,0.4744034
98000.0,0.0,0.0,1.0,0.0,26982.0,,82974.0,0,0,0,0,0,1,0.5046588290770108,0.25119483
154000.0,1.0,0.0,0.0,0.0,217000.0,,0.0,1,0,0,0,0,0,0.27851705084712614,2.7632732e-05
